1234	4	139	1	13,4
1235	2	30	3	14,0
1236	2	30	3	11,7
1237	2	30	2	13,1
1238	2	30	2	16,9
1239	4	139	3	12,3
1240	6	79	3	14,2
1241	2	30	1	15,1
1242	4	139	3	17,4
1243	5	34	3	16,4
1244	1	10	3	13,0
1245	5	34	3	15,5
1246	1	10	1	19,2
1247	2	30	1	16,1
1248	4	139	3	11,9
1249	1	10	1	12,6
1250	1	10	1	13,6
1251	2	30	2	17,2
1252	3	125	2	13,7
1253	6	79	2	15,2
1254	1	10	1	16,5
1255	1	10	3	16,5
1256	2	30	3	17,6
1257	4	139	2	18,6
1258	3	125	1	14,7
1259	5	34	1	13,7
1260	4	139	2	14,3
1261	5	34	2	11,1
1262	2	30	3	11,4
1263	3	125	2	15,3
1264	3	125	2	16,8
1265	4	139	2	11,4
1266	5	34	1	17,0
1267	3	125	1	17,4
1268	2	30	3	12,3
1269	5	34	2	18,0
1270	4	139	1	15,6
1271	3	125	3	15,7
1272	4	139	3	14,1
1273	4	139	2	18,0
1274	2	30	1	17,7
1275	5	34	1	14,0
1276	4	139	3	17,7
1277	5	34	3	18,1
1278	6	79	2	19,7
1279	1	10	1	11,2
1280	6	79	1	11,0
1281	5	34	3	11,4
1282	1	10	1	18,6
1283	5	34	2	18,5
1284	4	139	2	14,5
1285	4	139	2	19,0
1286	6	79	2	18,3
1287	4	139	3	17,4
1288	2	30	1	16,8
1289	3	125	2	18,8
1290	5	34	1	12,0
1291	4	139	1	19,8
1292	5	34	1	13,1
1293	3	125	3	18,8
1294	2	30	3	16,3
1295	5	34	3	16,0
1296	3	125	3	15,4
1297	1	10	3	12,5
1298	5	34	3	13,6
1299	4	139	2	16,0
1300	1	10	1	11,4
1301	1	10	1	17,9
1302	2	30	2	17,6
1303	1	10	1	19,8
1304	1	10	3	13,3
1305	1	10	2	11,8
1306	3	125	2	14,4
1307	1	10	1	11,9
1308	3	125	3	12,6
1309	2	30	3	16,5
1310	5	34	1	19,6
1311	6	79	1	17,4
1312	5	34	1	14,6
1313	1	10	2	11,6
1314	1	10	2	16,6
1315	5	34	2	15,4
1316	6	79	1	12,1
1317	5	34	2	11,9
1318	3	125	2	17,5
1319	4	139	3	15,4
1320	3	125	2	16,8
1321	1	10	3	12,6
1322	3	125	3	13,9
1323	2	30	1	15,0
1324	6	79	2	17,6
1325	4	139	1	17,0
1326	1	10	1	17,0
1327	2	30	3	12,3
1328	3	125	1	16,2
1329	3	125	2	15,6
1330	6	79	2	13,9
1331	4	139	3	17,5
1332	6	79	3	11,7
1333	1	10	3	20,0
1334	3	125	2	12,5
1335	2	30	3	11,0
1336	3	125	2	20,0
1337	1	10	3	18,2
1338	6	79	1	19,7
1339	3	125	3	12,0
1340	6	79	3	15,0
1341	5	34	1	16,9
1342	4	139	3	12,4
1343	6	79	2	14,1
